viewport,page,ae,mse
desktop,index,"879422","668.493 (0.0102006)"
desktop,portfolio,"866893","752.317 (0.0114796)"
desktop,cv,"737699","1.9135 (2.91982e-05)"
mobile,index,"295060","1486.15 (0.0226772)"
mobile,portfolio,"285929","1697.32 (0.0258995)"
mobile,cv,"191836","1.54198 (2.35292e-05)"
